"","BT41_T","BT48_T","BT50_T","BT53_T","BT67_T","BT69_T","BT73_T","BT75_T","BT84_T","BT89_T","BT94_T","BT100_T","BT106_T","BT108_T","BT119_T","BT126_T","BT134_T","BT140_T","BT143_T","BT147_T","BT169_T","BT189_T","BT208_T","BT238_T","BT241_T","BT248_T","BT284_T","BT301_T","BT338_T","BT426_T","BT428_T","BT429_T","BT465_T","BT466_T","BT467_T","BT468_T","G523_T","G549_T","G564_T","G566_T","G583_T","G620_T","G637_T","G683_T","G691_T","G729_T","G789_T","G797_T","G799_T","G800_T","G809_T","G823_T","G828_T","G837_T","G851_T","G861_T","G876_T","G885_T","G895_T","G900_T","G913_T","G914_T","G929_T","G931_T","G933_T","G945_T","G946_T","G957_T","G958_T","BT41_L","BT48_L","BT50_L","BT53_L","BT67_L","BT69_L","BT73_L","BT75_L","BT84_L","BT89_L","BT94_L","BT100_L","BT106_L","BT108_L","BT119_L","BT126_L","BT134_L","BT140_L","BT143_L","BT147_L","BT169_L","BT189_L","BT208_L","BT238_L","BT241_L","BT248_L","BT284_L","BT301_L","BT338_L","BT426_L","BT428_L","BT429_L","BT465_L","BT466_L","BT467_L","BT468_L","G361_L","G411_L","G489_L","G498_L","G523_L","G549_L","G551_L","G561_L","G564_L","G566_L","G567_L","G571_L","G577_L","G583_L","G584_L","G594_L","G613_L","G620_L","G637_L","G648_L","G683_L","G691_L","G702_L","G705_L","G706_L","G719_L","G729_L","G744_L","G789_L","G797_L","G799_L","G800_L","G809_L","G811_L","G823_L","G828_L","G837_L","G851_L","G861_L","G876_L","G885_L","G895_L","G900_L","G913_L","G914_L","G929_L","G931_L","G933_L","G945_L","G946_L","G957_L","G958_L","G607_T","G607_L","G477_T","G626_T","G752_T","G938_T","G477_L","G626_L","G752_L","G938_L","PFA1_T","PFA2_T","PFA3_T","PFA4_T","PFA5_T","PFA6_T","PFA7_T","PFA8_T","PFA9_T","PFA10_T","PFA13_T","PFA14_T","PFA1_L_hypoxia","PFA2_L_hypoxia","PFA3_L_hypoxia","PFA4_L_hypoxia","PFA5_L_hypoxia","PFA6_L_hypoxia","PFA7_L_hypoxia","PFA8_L_hypoxia","PFA9_L_hypoxia","PFA14_L_hypoxia","ST1_T","ST2_T","ST4_T","ST5_T","ST1_L_hypoxia","ST2_L_normoxia","ST4_L_hypoxia","ST5_L_hypoxia","AB1_NT","AB2_NT","PB1_NT","PB2_NT","HF5_NL","HF6_NL","HF11_NL","HF5205_NL","HF6562_NL","HF7450_NL","G938_NT"
"DEV_gs",0.121198986423283,-0.0443949667747851,0.107646960771754,0.0921416514240551,-0.306755132733572,-0.284324595655099,0.0917959438995878,0.184520482271842,0.229192486004218,-0.179875174255499,0.330852225766555,-0.297739001644745,-0.0608994728175066,-0.0696909873160153,0.139535367676287,-0.403074794470289,0.10641517014679,0.156617654859319,0.0126531453577309,0.176954039206816,-0.345691222547412,0.307830111824388,0.0298306106153711,0.264400598247844,-0.155483273407865,0.142842388100484,0.022101398327755,-0.428171132769306,0.152824052015532,0.200576548706031,0.247782095736459,0.311922956346251,0.377233046685212,0.181340280461226,0.215538437248146,0.0769142379584306,0.2719263226797,0.201038475785356,0.20460309774713,0.0787684479042787,0.246977201174757,0.0686080818791224,0.280576236886943,0.226075534126778,0.0900412056395132,0.188994913048041,0.27876836181235,0.235993337631984,0.359323467901713,0.0584423251476611,0.29549748947794,0.279974437226334,0.326319233843895,0.271498988630375,-0.126449828711128,0.462415081845049,-0.16888723520277,-0.232939688590315,0.149284874592325,-0.273422244410275,0.251503268001302,0.223732748538651,0.381200391649471,0.0358259027614062,0.303137894711299,0.115271698349501,0.240208521848234,0.36839763562281,0.349189072026727,0.486694768596334,0.44868830304061,0.374289409538337,0.187984391194923,0.378167574005001,0.450080768045269,-0.0582575715766938,0.206291256207309,0.218880056070169,0.449100547058696,0.34158874896708,0.444259122217103,-0.0952247551101773,0.111569981875775,-0.0673685342067833,0.445005682147612,0.360038533726715,0.374975410400814,0.126041688141966,0.289708326533991,-0.475690645931718,0.366005695256117,-0.512522133858341,0.509671225802927,0.417105957108164,-0.444744680231612,0.165373512700568,0.43067464783395,0.398861425814145,0.550112902209038,0.480894110909642,0.344036728002201,0.460908487206073,0.37303306207169,0.505722289611773,0.480659499187585,-0.209998621973937,-0.35573081362965,0.367198937173305,-0.085798196183268,0.38159058052552,-0.418245146101981,-0.256746366222433,-0.344341496823614,-0.542154219297564,-0.416172416602652,-0.433228074691924,-0.329917256848325,-0.31449487920123,-0.327575698451989,-0.241680859003709,-0.248400849800535,-0.272960955748119,0.393699674710841,0.00510638772838673,0.319037283406911,-0.331382783281598,-0.567147882899422,0.324355093940034,-0.402781505684265,0.290816765933326,-0.17797569260447,-0.5672000078916,0.520286621865874,-0.58883356251642,-0.396961474835247,-0.325742192147908,-0.449164743500155,0.197030806637407,-0.173750215206666,0.321937213519849,0.353789998166798,-0.393529808674809,-0.389491421442662,-0.491498811147454,-0.282056914548028,0.13745865819239,0.332532232051053,-0.542580040601219,-0.516715817405271,0.362255516505938,-0.488258273027719,-0.503861188040758,-0.531020166637468,-0.49562020554244,0.364572575345328,-0.458306158969809,0.263936996335209,0.379581040443397,-0.674726427572698,0.186928607245064,-0.463125347930538,-0.189732227406659,0.394395588886175,-0.493362649697587,-0.562341590844475,-0.561368518542402,-0.476115652956116,0.0322748853001118,0.0343487023831273,-0.153757762138291,0.143019262316407,0.129543227154138,-0.268130231635746,-0.0193019223115907,0.151578715081571,0.154572134752353,0.248651039164052,-0.284054942770656,0.0383459613742243,-0.542171069945518,-0.428195037418748,-0.537737483074313,-0.411159746555357,-0.381224981959063,-0.30960636762307,-0.470047277753548,-0.545218078056565,-0.488441080665311,-0.526115889200068,0.351502133275461,0.0945217663097838,0.226282669770456,0.0938956931783065,0.0244518732582257,-0.315914745413769,-0.347830804804231,-0.365929923836654,0.208835100754544,0.224557799025497,0.261614671308574,0.275849455142614,-0.3822821667157,-0.301108106805018,-0.303897926878354,-0.334299854107734,-0.524776742391687,-0.429616593333054,0.292736815737803
"IR_gs",-0.124621815094436,0.0682979373124364,0.0090345577419621,-0.188823854444866,0.385338227131123,0.323076441927333,0.0322764723253079,-0.292960904706203,-0.216460018359282,0.317787079255466,-0.262454789009153,0.131811961557639,-0.0658863430686805,0.131521079882792,-0.123571833505599,0.41974007087749,-0.103705092833629,-0.121662227205307,-0.0369640262188214,-0.254903227018989,0.389136677695274,-0.352880206852523,-0.0325729611810358,-0.178590623006401,0.197066071171226,-0.167965105718413,-0.0992755102469605,0.457616110343002,0.281273480976861,-0.0904648278405646,-0.276185379093564,-0.321353335933558,-0.266296810252684,0.187407596384771,-0.0742662470547974,0.150968280210705,-0.289718116881472,-0.0201749756486981,-0.0474977780014044,0.152416221568545,-0.169044528871761,0.125879366499479,-0.25335498543028,-0.106849513239732,-0.0531027290864767,-0.0218356747794231,-0.268410581868041,-0.211315236879992,-0.357663632870993,0.0378920289751693,-0.3168072133653,-0.308913509118929,-0.338880035980726,-0.282421407403851,0.00446880008789613,-0.435894073395235,0.161300733121585,0.212120516614492,-0.275995327698542,0.427222805279027,-0.0268924760585951,0.0535610396200196,-0.343520521207656,0.252691115501289,-0.167707218054491,-0.0803438041559366,-0.0323227830784039,-0.229559362667056,-0.278643614669192,-0.570193644156945,-0.557546400077184,-0.47247938242639,-0.438221348895088,-0.444413703431471,-0.537867497408325,-0.316894658217426,-0.358107768452547,-0.355161892801608,-0.523555791099508,-0.431807232264082,-0.404575283857884,-0.207510383129491,-0.313043185549557,-0.284902513356125,-0.555811297587421,-0.470359814405247,-0.485776579162467,-0.326028483782675,-0.441774237274595,0.377264965386681,-0.405948083173999,0.361217474418784,-0.577429744041033,-0.572143861010247,0.435527019774285,-0.227160019810815,-0.4934461492451,-0.497683300098837,-0.48811235777335,-0.410517239346775,-0.460958024501196,-0.550275805178999,-0.464787704409166,-0.548740519326955,-0.532368277137565,-0.0692169566308942,0.1605937153109,-0.520672961077559,-0.201237046376666,-0.460182996167344,0.383453860053312,0.0878840370515364,0.172277812594923,0.411079331275242,0.350361777413111,0.293494364960631,0.0809948918284463,0.180352767031981,0.257898767969459,0.053574939253513,-0.0141243660867467,0.0373752850622984,-0.413782033650119,-0.207084512646746,-0.417368182162932,0.213587161818841,0.466800063025862,-0.439464308521471,0.28314346822274,-0.386471254373555,-0.0371745125950954,0.503113855638939,-0.590048977774532,0.55024093334145,0.472241075297771,0.333379606953961,0.382972646405515,-0.389766563752381,0.0903586899904745,-0.223831886441628,-0.256915322843503,0.384412707585323,0.3696702814736,0.535505854337164,0.355407158737252,-0.27546811459201,-0.343828311977726,0.474469775085029,0.480460363778538,-0.358920515920156,0.435632394850793,0.469021025744051,0.492555683715776,0.3975830488005,-0.467417728962818,0.446144511724069,-0.401505941898594,-0.391001341834774,0.55226721150496,-0.125674585722604,0.48750393175869,0.271321755215416,-0.149055961186659,0.343493006058529,0.443211160537116,0.480072121311906,0.524139113218137,-0.0612940464915285,-0.161666417657271,0.186762725545704,-0.139245720134292,-0.0732014860300664,0.271476222978033,-0.0685878090783971,-0.210255672472829,-0.101816852679075,-0.254172360672483,0.329095588178559,0.0563321317483196,0.522179231511555,0.430256766810546,0.500059083822533,0.357259386870206,0.386660804621503,0.342927575200995,0.441723593490002,0.496673423170136,0.414903263940478,0.502745595442318,-0.318587836634788,-0.130850758888345,-0.107143057308154,-0.144936397613883,-0.024606275366889,0.162194354530483,0.357361300999995,0.416124475170508,-0.226737909894251,-0.218132620244799,-0.218011702629329,-0.220406746138653,0.439096904619241,0.470625520420658,0.395783715011794,0.185760097668178,0.369285917741912,0.260823848256569,-0.213438241464549
"AhR_activation_gs",-0.072988790916721,0.145668228863369,0.209514435202038,-0.00506538266821388,0.251873131882512,0.00370753881607638,0.207364305395287,-0.273587652329168,-0.0621867587233284,0.270429425259972,-0.236444132884965,0.0645855539872157,-0.00168390492075932,0.203083546621081,-0.157719368523082,0.2292673316273,-0.143449018455603,-0.093111906681301,-0.0370730003692393,-0.0334187820864886,0.268304382228995,-0.283228570964468,0.0357248090150606,-0.241742734496114,0.132023123304472,0.192861178676,-0.0866511833727181,0.392916769816461,0.384356807539989,0.0530371205224905,0.020724847373002,-0.176407434318728,0.032246710458402,0.283083313424087,0.196651739837796,0.0777346162624446,-0.0791514327988151,0.0206542877217848,-0.0550534442739768,0.131908891233914,-0.129699698665663,0.0998775945805518,-0.153701163718085,-0.00141444049668907,0.00280571017143952,-0.00791023465851479,-0.259940639687259,-0.159956219161111,-0.0773320105556462,-0.00884646406465145,-0.0190456272735197,-0.157891408520111,-0.152193104809391,-0.00948381321078196,-0.000271911763798705,-0.201662847343499,0.189888873525409,0.110794741104138,-0.163305841271491,0.29188855312764,0.115622224183083,0.259236584526112,-0.202432642651842,0.325496311425368,0.0745202838447769,0.0596887018305954,0.0536013182047168,-0.0595397699420042,-0.154376872747157,-0.131337828954703,-0.280657338379134,-0.212291925077922,-0.372821769701788,-0.295497767689288,-0.368196788047383,-0.301772190506602,-0.216322399804684,-0.0776289445070636,-0.267159299948306,-0.298560102712004,-0.247859086104296,-0.120505483639202,-0.198697088784855,-0.0962489610968317,-0.310926061030253,-0.307653997368125,-0.256527692259364,-0.0719914920118999,-0.203701821047945,0.0350782942975269,-0.204516385595344,0.213995715153106,-0.34173581343013,-0.277786628010772,0.17698746541098,-0.0727197707661916,-0.308036659087211,-0.368154045020029,-0.134308629654901,-0.201138982928941,-0.238835150632773,-0.209673060472136,-0.308735664117492,-0.247631037065145,-0.227049503081099,-0.294340278270791,0.01954778655144,-0.232069431062848,-0.152046283422794,-0.247817942595988,0.0176569855826935,-0.0243188052625251,-0.0615021280213793,-0.0627832323131513,0.136785276410859,0.00629702130741694,-0.0738708410813886,-0.0801800685545442,0.137236839037,-0.0329243175307476,-0.198841598688827,-0.129707677912716,-0.0461720468036589,-0.0940614306299941,-0.206775971769807,-0.120723526167716,0.0233264695907316,-0.169109719197401,0.123397341233038,-0.0797399360103181,-0.0708793042064583,0.161173643972412,-0.159581576334802,0.245671950977557,0.0847710116575035,-0.114714381020084,0.0751333318306702,-0.0710310198985897,0.0683728354483523,-0.00994626952770467,-0.193083830739598,0.166407686180547,0.00528919181128568,0.144445804296897,0.0357945052684146,-0.137595597282249,-0.126775116547551,0.349256834414875,0.0872996295787904,0.00767602005845763,-0.030733709565061,0.0932943160508832,0.15534149351526,0.224481154956476,-0.160882021742227,0.139973359301834,-0.244733104183232,-0.123540985418309,0.146357731488016,0.056830767868028,0.272334911807703,0.114273812177515,-0.0862015367755124,-0.0701251035779468,0.113956478881021,0.119109342693387,0.212702864902832,0.125448754523278,-0.0371188091850592,0.336684649542378,-0.00421837878375547,0.168255523486354,0.391919753769952,0.201086786080973,0.107838371340518,0.132942909052688,-0.0522800371302719,0.361534297967093,0.149262842446881,0.218342104938502,0.0158073173178222,0.332129405807986,0.0257409884965486,0.0402625000289847,0.0720226785026917,0.264481492730656,0.337419048535369,0.149716409950043,0.214098225106012,0.022514364116648,-0.011628784315327,0.166308533302273,-0.177665656501283,0.0182491416841473,-0.137000434638758,0.106763845176009,0.140159909120254,-0.215179933708133,-0.303124408803179,-0.175623946933703,-0.138896656967181,0.08436230904761,0.211093244993189,0.112124225049544,0.0378828469076213,-0.00637771484607702,-0.00792094841075233,-0.145977112504815
"Wnt_activation_gs",-0.138055426644542,-0.474026987030406,-0.0703686977723558,-0.219989214876151,-0.219492184643324,0.00281812023830871,-0.0905903797118001,-0.432389984190995,-0.467687170426022,0.288920289281651,-0.0769515139518843,-0.405831802081927,-0.502638328364174,-0.398423372039831,-0.477682516805508,-0.343312103377062,-0.412624750421118,-0.402986669738218,-0.334995011627932,0.214301536008866,-0.181853837433541,-0.330633447878677,-0.447305769696659,-0.174857160665636,-0.0218497813888166,-0.107929250202684,-0.306187064689533,-0.153797502671179,-0.0314368779117085,-0.272294802294614,-0.191504235460455,-0.0951421944926912,0.105741186382977,0.0801876463946252,-0.119189696173175,-0.340145486742811,-0.320424080099958,-0.32181826601812,-0.134640310711972,0.0348992935743253,-0.318668742456396,-0.0805547810568536,0.0688128021258141,-0.00970714287983326,-0.279288046084075,0.116057999234676,-0.371204177417307,-0.399244021820324,0.0930033037862847,-0.0130878067026161,0.00712179893919804,-0.439302195976145,-0.297525678355416,-0.223931146987101,-0.116772592697853,-0.148667845642445,-0.370241328124203,-0.149724323754116,-0.292434494136827,-0.0608631431964411,-0.048023444596997,0.0752267690304192,-0.102367421680823,-0.340953692398843,-0.113077092542452,-0.368125329170078,-0.161833661850579,0.00963252790685565,0.105166474042037,0.431061465704228,0.0365026779327002,0.385221351906085,-0.0438607658911831,0.176995349818594,0.129994557956937,-0.0543366180854926,-0.0650610703018173,0.153520422494732,0.167668121481738,0.259454989507891,0.160839819697308,0.0649979058681799,0.111132548975057,0.150926176622299,0.210774514103975,-0.158098565351619,0.141187491394809,0.357535385792462,-0.0468521193896307,-0.104111652324908,0.29435168486929,-0.41299930025755,0.205414989617388,0.452946051111653,0.219826995116051,0.174173148584456,0.240850327884575,0.0399289359823689,0.317390847544173,0.26475155965921,0.29431087489059,0.291006601018433,0.314870941035848,0.35875201761224,0.301523526505688,-0.0547437523216213,-0.0298191531754182,0.302425033056248,-0.214877161253513,-0.0413976855303329,0.086467684122761,-0.257312620685032,0.0405974900383869,-0.0551963262558085,-0.0234942944491671,0.295931600852925,0.0496808586306317,0.0529927481762983,0.19094140391612,0.115807640063925,0.139988968394358,-0.0358117788431982,0.333925902669077,0.0469624678258834,0.00678877316570703,0.194705818903732,0.00557027637694421,0.237724656086247,-0.288581998791116,0.337299643423456,-0.131001650439115,-0.152288019131704,0.0657912319457078,-0.203540136978024,0.22205434066968,-0.185251337113171,-0.0842575370859515,0.366237211408601,0.0644566122303061,0.27541812684471,0.144453391124159,0.215607625390687,0.250960435677149,0.0894445020746174,0.266727846149329,0.341395123722684,0.273273264189003,0.000766761864448601,0.192231814216107,0.317000465962912,-0.0855866975409608,0.187117195635205,-0.172159690638951,-0.042829035572048,0.221107030812104,-0.077738589171044,0.23131727266328,-0.0200709507254008,-0.235937865673853,-0.062341757489128,-0.432138944453471,0.0542210645713536,-0.0728887970338136,0.158527516161324,-0.118914925598985,-0.0460458738880409,0.0341003298445723,-0.275519891585925,-0.0198233498988457,0.132764119774346,-0.244064815368173,-0.107603705528633,-0.0167571816240879,0.0398740312126849,-0.107080915063134,-0.174391333288525,0.203782577141212,-0.0199920162552504,-0.00742600913985808,-0.0522695419553962,-0.0743521808393952,0.216177244016793,0.0939014287162602,0.179050618647769,-0.00702005369989417,0.297492181485492,0.133309922238595,-0.18396953645378,0.01267338454463,0.243616829225893,0.243576535997544,0.426453707933833,-0.143506169823855,0.130608046522932,0.09429482070879,-0.232171784378851,-0.0150420692068507,-0.328739387915239,-0.402162747288985,-0.316307161321305,-0.300290515459244,0.0351490534917687,0.0864978919536913,0.16130272135847,0.239252589555183,-0.0817179657317631,0.0344021807956104,-0.373658534368573
